Specimen,User,Maxilla_LDR,Dentary_LDR,Frontal_GL,Frontal_SW,Frontal_PW,Parietal_GW,Parietal_GL,Quadrate_GH,Occipital_complex_WC,Articular_WR,Scapulocoracoid_HG,Femur_GL,Humerus_GL,Pelvis_HA,Ilium_crest_GL,SVL,TL,Sex
Sceloporus undulatus tristichus_TMM_M-9830,JAK,6.2,6.77,,1.27,5.63,4.23,,3.9,2.11,2.02,0.62,11.5,9.31,1.42,4.97,58,141,
Sceloporus undulatus tristichus_TMM_M-9830,JAK,6.08,6.73,,1.33,5.18,4.24,,3.62,2.18,2.02,0.73,11.66,9.44,1.76,5,58,141,
Sceloporus undulatus tristichus_TMM_M-9830,JAK,6.42,6.93,,1.18,5.67,4.33,,3.76,1.89,2.12,0.71,11.67,9.34,1.89,4.86,58,141,
Sceloporus undulatus tristichus_TMM_M-9830,DTL,5.88,6.45,,1.51,5.17,4.32,,3.35,2,1.98,1,11.59,9.4,1.46,4.91,58,141,
Sceloporus undulatus tristichus_TMM_M-9830,DTL,6.04,6.43,,1.35,5.01,4.38,,3.43,2.05,2.05,1.01,11.67,9.31,1.45,4.87,58,141,
Sceloporus undulatus tristichus_TMM_M-9830,DTL,5.94,6.45,,1.45,5.12,4.37,,3.42,1.9,2.03,1.01,11.89,9.34,1.49,4.99,58,141,
Sceloporus undulatus tristichus_TMM_M-9830,DTL,5.96,6.35,,1.41,4.87,4.4,,3.45,1.97,2.02,1.09,11.83,9.34,1.26,4.95,58,141,
Sceloporus undulatus tristichus_TMM_M-9830,DTL,5.94,6.38,,1.32,4.86,4.35,,3.37,1.9,1.95,1.01,11.36,9.25,1.26,4.95,58,141,
Sceloporus virgatus_TMM_M-12197,JAK,4.31,5.26,,1.09,4.66,4.08,,3.01,1.43,0.95,0.31,8.12,6.54,0.97,3.08,42,96,
Sceloporus virgatus_TMM_M-12197,JAK,4.75,5.3,,1.12,4.54,4.05,,3.11,1.49,1.36,0.55,8.44,6.65,1.29,2.95,42,96,
Sceloporus virgatus_TMM_M-12197,JAK,4.23,5.23,,1.05,4.81,4.14,,3.07,1.56,1.54,0.51,8.25,6.29,1.08,3.06,42,96,
Sceloporus virgatus_TMM_M-12197,JAK,4.24,4.72,,1.02,4.34,3.98,,3.03,1.64,1.4,0.58,8.23,6.36,0.92,2.76,42,96,
Sceloporus virgatus_TMM_M-12197,JAK,4.22,5.16,,1.11,4.47,3.87,,2.79,1.69,1.35,0.43,8.13,6.41,1.21,2.98,42,96,
Sceloporus virgatus_TMM_M-12197,JAK,4.48,5.07,,1.11,4.77,3.95,,2.88,1.68,1.54,0.56,8.06,6.43,1.15,2.88,42,96,
Sceloporus virgatus_TMM_M-12197,DTL,4.13,4.9,,1.11,4.58,4.02,,2.72,1.44,1.32,0.47,7.94,6.58,1.17,2.79,42,96,
Sceloporus virgatus_TMM_M-12197,DTL,3.98,4.71,,1.07,4.53,4,,2.57,1.39,1.39,0.56,8.11,6.67,1.07,2.79,42,96,
Sceloporus virgatus_TMM_M-12197,DTL,4.09,4.68,,1.12,4.44,4.04,,2.66,1.36,1.36,0.57,8.34,6.57,1.07,2.85,42,96,
Sceloporus virgatus_TMM_M-12197,DTL,4.21,4.73,,1.08,4.38,4,,2.72,1.46,1.33,0.64,8.11,6.64,1.12,2.84,42,96,
Sceloporus virgatus_TMM_M-12197,DTL,4.06,4.81,,1.07,4.4,4.01,,2.69,1.35,1.3,0.61,8.31,6.56,1.05,2.76,42,96,
