Specimen,Maxilla_LDR,Dentary_LDR,Frontal_GL,Frontal_SW,Frontal_PW,Parietal_GW,Parietal_GL,Quadrate_GH,Occipital_complex_WC,Articular_WR,Scapulocoracoid_HG,Femur_GL,Humerus_GL,Pelvis_HA,Ilium_crest_GL,SVL,TL,Sex,species,genus
Sceloporus occidentalis_TxVP_M-8623,7.2,8.78,NA,1.3,6.02,4.65,NA,4.48,2.26,2.75,1.06,13.25,10.82,1.86,5.59,69,160,female,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-12184,7.2,7.7,NA,1.48,6.65,5.21,NA,4.5,2.16,2.6,1.1,14.58,11.19,1.89,5.39,70,163,female,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-8640,6.72,8.39,6.12,1.29,5.49,4.57,3.53,4.12,NA,2.52,NA,NA,NA,NA,NA,68,NA,male,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-12180,5.82,6.82,NA,1.09,5.3,4.66,NA,3.77,2.3,2.11,0.62,10.93,8.51,1.46,4.96,51,125,male,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-12183,7.46,7.43,NA,1.23,6.35,4.89,NA,4.42,2.2,2.79,1,12.21,10.22,1.97,5.54,63,NA,NA,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-12169,5.54,5.23,NA,0.95,5.05,4.46,NA,3.55,1.7,1.73,0.46,8.54,7.29,1.51,3.72,47,106,male,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-12168,5.21,5.75,NA,0.97,4.7,4.46,NA,3.39,1.64,1.78,0.5,8.67,7.63,1.5,3.78,46,104,female,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-8626,6.93,8.85,6.78,1.53,6.19,4.77,3.62,NA,NA,3.06,1.59,14.74,11.01,2.31,6.39,79,NA,NA,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-14808,6.97,7.14,NA,1.49,6.43,5.13,NA,3.97,2.6,2.71,1.1,14.74,12.1,2.53,5.74,75,161,male,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-14809,5.99,6.27,NA,1.16,5.9,4.17,NA,3.29,1.96,NA,1.06,10.61,7.75,1.02,4.03,55,106,male,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-14807,5.75,5.65,NA,1.12,5.38,4.11,NA,NA,NA,NA,NA,7.56,7.14,NA,NA,56,99,male,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-14806,5.18,5.83,NA,0.98,5.59,4.2,NA,3.55,1.68,1.82,NA,10.05,7.25,NA,3.8,52,105,female,Sceloporus occidentalis,Sceloporus
Sceloporus occidentalis_TxVP_M-14805,5.29,6.21,NA,1.05,5.05,4.69,NA,3.55,1.76,1.96,0.81,11.02,7.58,1.13,3.79,58,106,male,Sceloporus occidentalis,Sceloporus
Callisaurus draconoides_TxVP_M-9967,7.31,7.66,NA,1.38,NA,NA,NA,3.86,1.89,2.85,1.01,18.06,14.78,2.64,6.62,79,170,female,Callisaurus draconoides,Callisaurus
Callisaurus draconoides_TxVP_M-9968,6.41,7.14,5.62,1.04,5.4,NA,NA,3.19,NA,NA,1,14.79,12.13,NA,4.87,67,106,female,Callisaurus draconoides,Callisaurus
Callisaurus draconoides_TxVP_M-15659,4.23,5.14,NA,0.75,NA,NA,NA,2.56,1.55,1.53,0.53,10.11,8.22,1.59,3.07,49,NA,NA,Callisaurus draconoides,Callisaurus
Cophosaurus texanus_TxVP_M-10747,6.46,7.39,NA,1.14,6.1,NA,NA,3.46,2.13,2.66,0.8,17.17,14.35,2.16,5.45,NA,NA,male,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-13780,6.22,6.85,NA,1.05,6.14,4.69,NA,2.95,2.02,2.18,1.01,14.79,12.27,1.71,5.02,60,130,male,Cophosaurus texanus,Cophosaurus
Urosaurus ornatus_TxVP_M-13689,5.23,5.47,4.16,0.87,4.3,3.72,2.38,2.55,NA,1.77,0.78,8.96,7.17,1.39,3.76,50,NA,NA,Urosaurus ornatus,Urosaurus
Urosaurus ornatus_TxVP_M-13688,4.38,6.5,4.81,1.25,NA,NA,NA,2.79,1.51,1.78,0.58,10.05,7.66,1.4,4.06,55,NA,NA,Urosaurus ornatus,Urosaurus
Urosaurus ornatus_TxVP_M-13677,NA,5.93,4.29,0.79,4.42,3.69,2.23,2.42,NA,1.75,0.61,7.55,6.14,1.21,3.81,53,120,NA,Urosaurus ornatus,Urosaurus
Urosaurus ornatus_TxVP_M-14882,5.31,5.96,NA,0.9,4.36,3.77,2.45,2.68,1.4,1.59,0.65,8.79,7.07,1.43,4.06,52,130,NA,Urosaurus ornatus,Urosaurus
Urosaurus ornatus_TxVP_M-14329,5.46,5.61,4.35,1.03,4.86,3.98,2.62,2.65,1.83,1.93,0.75,8.98,6.86,1.57,NA,47,72,male,Urosaurus ornatus,Urosaurus
Urosaurus ornatus_TxVP_M-14330,5.32,6.19,4.87,1.04,4.81,4.18,2.8,2.94,1.63,1.74,0.63,10.57,7.93,1.41,4.15,53,NA,NA,Urosaurus ornatus,Urosaurus
Urosaurus ornatus_TxVP_M-14884,5.61,5,NA,0.91,NA,3.73,1.71,2.44,1.45,1.95,0.57,9.03,7.2,1.45,3.84,52,NA,NA,Urosaurus ornatus,Urosaurus
Urosaurus ornatus_TxVP_M-14883,5.28,5.14,4.7,1.22,4.51,3.78,2.75,2.6,1.51,1.87,NA,9.46,7.05,1.67,3.94,51,NA,NA,Urosaurus ornatus,Urosaurus
Phrynosoma cornutum_TxVP_M-9619,NA,NA,NA,2.03,NA,NA,NA,NA,NA,NA,NA,13.36,12.33,NA,NA,70,NA,NA,Phrynosoma cornutum,Phrynosoma
Phrynosoma cornutum_TxVP_M-9618,NA,NA,NA,2.57,10,8.57,4.12,NA,NA,NA,NA,16.76,15.93,NA,5.85,92,NA,NA,Phrynosoma cornutum,Phrynosoma
Phrynosoma cornutum_TxVP_M-9622,6.94,7.48,NA,2.32,12.73,7.29,NA,4.84,2.05,2.34,1.4,13.91,12.82,2.51,4.92,67,NA,NA,Phrynosoma cornutum,Phrynosoma
Phrynosoma cornutum_TxVP_M-8644,5.6,6.56,NA,1.73,10.19,7.61,NA,4.23,2.05,1.89,1.4,12.06,11.52,2.05,4.33,59,NA,NA,Phrynosoma cornutum,Phrynosoma
Phrynosoma cornutum_TxVP_M-9624,6.27,6.7,NA,2.17,12.29,8.62,NA,5.6,1.94,2.52,1.32,16.49,15.52,2.96,5.37,NA,NA,NA,Phrynosoma cornutum,Phrynosoma
Phrynosoma cornutum_TxVP_M-9620,NA,9.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.28,17.59,NA,NA,100,NA,NA,Phrynosoma cornutum,Phrynosoma
Phrynosoma cornutum_TxVP_M-15674,NA,7.01,NA,NA,NA,NA,NA,NA,2.67,3.29,NA,18.95,18.03,3.12,NA,85,NA,NA,Phrynosoma cornutum,Phrynosoma
Phrynosoma cornutum_TxVP_M-9621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.94,NA,NA,NA,NA,NA,Phrynosoma cornutum,Phrynosoma
Phrynosoma douglasii_TxVP_M-9626,4.61,6.09,NA,NA,7.49,5.25,2.53,3.7,NA,NA,NA,8.46,7.77,NA,NA,50,NA,NA,Phrynosoma douglassii,Phrynosoma
Phrynosoma douglasii_TxVP_M-9627,3.32,4.5,3,0.73,5.31,NA,NA,NA,NA,NA,NA,5.42,5.1,NA,NA,31,44,NA,Phrynosoma douglasii,Phrynosoma
Phrynosoma douglasii_TxVP_M-8526,6.73,8.22,7.49,2.31,10.7,6.87,3.67,5.01,NA,2.35,1.42,13.42,12.03,NA,NA,65,100,NA,Phrynosoma douglassii,Phrynosoma
Phrynosoma modestum_TxVP_M-14818,NA,5.03,NA,2.22,8.71,NA,NA,3.75,NA,1.78,0.92,12.05,11.37,1.72,NA,52,85,NA,Phrynosoma modestum,Phrynosoma
Petrosaurus mearnsi_TxVP_M-9610,9.02,9.8,NA,1.12,6.92,5.32,NA,4.98,2.09,2.85,1.06,20.47,NA,2.27,7.1,76,NA,NA,Petrosaurus mearnsi,Petrosaurus
Uta stansburiana_TxVP_M-14921,5.69,6.27,4.66,0.92,4.36,4.25,2.82,2.74,1.64,1.54,NA,10.68,NA,1.25,3.84,51,NA,NA,Uta stansburiana,Uta
Uta stansburiana_TxVP_M-14885,5.95,5.78,4.95,0.92,4.56,4.25,3.05,2.84,NA,1.83,0.66,9.88,6.85,1.62,4.26,51,NA,NA,Uta stansburiana,Uta
Uta stansburiana_TxVP_M-14888,NA,NA,NA,NA,NA,3.98,2.63,2.54,1.47,1.61,0.65,8.93,NA,1.51,3.7,45,NA,NA,Uta stansburiana,Uta
Uta stansburiana_TxVP_M-14332,5.26,6.29,4.87,0.94,4.72,4.2,3.04,2.88,1.61,1.74,0.77,9.85,NA,1.35,3.9,50,NA,NA,Uta stansburiana,Uta
Uta stansburiana_TxVP_M-14331,5.5,NA,NA,NA,NA,4.25,2.31,NA,NA,1.65,NA,10.18,NA,NA,4.33,56,NA,NA,Uta stansburiana,Uta
Uta stansburiana_TxVP_M-14918,4.72,5.46,4.99,1.01,NA,4.11,2.88,2.55,NA,NA,0.64,9.73,8.09,NA,4.08,54,NA,NA,Uta stansburiana,Uta
Uta stansburiana_TxVP_M-14894,5.55,6.15,5.11,0.93,4.56,4.12,2.9,3.11,1.91,2.03,0.51,10.85,8.24,1.63,4.44,52,NA,male,Uta stansburiana,Uta
Uta stansburiana_TxVP_M-14927,3.82,4.79,4.21,0.83,3.99,NA,2.87,2.09,NA,1.4,0.66,8.19,5.92,1.1,3.62,41,NA,female,Uta stansburiana,Uta
Uta stansburiana_TxVP_M-14925,4.9,5.52,4.14,0.91,NA,4.2,1.69,2.4,1.53,1.46,0.46,8.86,5.82,1.18,3.47,42,NA,female,Uta stansburiana,Uta
Urosaurus microscutatus_TxVP_M-14327,5.12,5.64,NA,1.01,5.13,3.98,NA,2.8,1.54,1.9,0.51,10.05,8.03,1.12,4.07,50,NA,male,Urosaurus microscutatus,Urosaurus
Urosaurus microscutatus_TxVP_M-14328,5.1,5.08,NA,1.01,4.87,3.54,NA,2.85,1.2,1.63,0.52,9.64,7.6,1.48,4.02,47,NA,male,Urosaurus microscutatus,Urosaurus
Uma scoparia_TxVP_M-14810,5.08,5.74,NA,0.76,5.42,4.87,NA,2.72,1.73,1.61,NA,9.39,6.74,NA,NA,NA,NA,NA,Uma scoparia,Uma
Cophosaurus texanus_TxVP_M-9221,6.35,7.04,6.34,1.07,5.8,4.89,2.71,3.17,2.14,2.22,1.26,14.72,12.52,1.94,5.25,68,NA,NA,Cophosaurus texanus,Cophosaurus
Callisaurus draconoides_TxVP_M-8647,4.83,5.51,NA,NA,NA,5.1,2.64,3.05,NA,1.45,NA,13.28,10.83,NA,5.03,59,NA,NA,Callisaurus draconoides,Callisaurus
Cophosaurus texanus_TxVP_M-9216,NA,NA,4.06,0.87,3.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,NA,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-9220,6.82,7.41,6.74,1.44,6.62,5.32,3.09,3.29,2.22,2.6,1.46,16.71,13.87,2.07,5.68,72,NA,NA,Cophosaurus texanus,Cophosaurus
Callisaurus draconoides_TxVP_M-9133,NA,NA,NA,1.13,NA,5.11,3.46,3.4,2.16,2.53,1.35,15.89,13.11,2,5.76,74,163,female,Callisaurus draconoides,Callisaurus
Callisaurus draconoides_TxVP_M-9134,5.23,6.05,NA,NA,NA,NA,NA,3.01,NA,1.89,NA,14.39,11.08,NA,4.81,59,NA,female,Callisaurus draconoides,Callisaurus
Cophosaurus texanus_TxVP_M-9219,5.98,6.51,5.78,1.04,5.49,4.75,2.92,2.93,2.15,1.98,1.26,14.2,11.83,1.81,5.4,62,NA,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_CJB_1397,6.5,7.31,6.85,1.14,5.63,5.24,3,3.22,1.99,2.52,1.35,16.49,13.96,1.87,5.82,68,NA,male,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-9224,4.34,5,4.84,0.71,4.9,4.38,2.53,2.12,NA,1.13,NA,9.26,7.38,NA,3.41,40,NA,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-9217,5.02,5.63,NA,NA,NA,4.76,2.77,2.47,NA,1.69,NA,11.35,NA,NA,4.26,52,100,NA,Cophosaurus texanus,Cophosaurus
Callisaurus draconoides_CJB_1413,5.8,6.32,6.36,0.97,5.8,5.01,3.11,3.02,NA,1.68,NA,15.53,NA,NA,5.08,65,156,NA,Callisaurus draconoides,Callisaurus
Callisaurus draconoides_CJB_1414,4.27,5.02,5.18,0.77,4.94,NA,NA,2.43,NA,1.23,NA,10.81,NA,NA,3.58,49,NA,NA,Callisaurus draconoides,Callisaurus
Holbrookia maculata_TxVP_M-8531,5.42,5.89,NA,0.9,5.03,NA,NA,2.5,1.62,1.96,1.07,10.64,8.92,1.47,4.3,54,NA,female,Holbrookia maculata,Holbrookia
Cophosaurus texanus_TxVP_M-8527,6.09,6.43,6.07,1.02,5.72,4.79,2.74,2.86,2.18,1.99,1.21,13.72,11.52,1.68,5.46,64,NA,female,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-8650,3.92,4.71,NA,NA,NA,4.25,2.4,2.08,NA,1.25,NA,8.79,7.16,NA,3.15,40,NA,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_CJB_1387,4.61,4.87,4.88,0.73,4.61,4.15,2.3,2.25,NA,1.42,NA,9.62,7.9,NA,3.54,43,NA,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-9225,4.44,4.85,4.95,0.86,4.59,4.7,2.64,2.29,NA,1.54,NA,9.66,7.87,NA,3.7,42,NA,male,Cophosaurus texanus,Cophosaurus
Holbrookia maculata_TxVP_M-12128,5.82,6.33,5.68,0.86,NA,4.51,2.67,2.59,1.8,2.25,NA,NA,NA,NA,4.52,62,NA,male,Holbrookia maculata,Holbrookia
Callisaurus draconoides_TxVP_M-12105,4.58,5.01,NA,NA,NA,NA,NA,2.56,NA,1.29,NA,10.33,8.4,NA,3.91,49,NA,male,Callisaurus draconoides,Callisaurus
Cophosaurus texanus_CJB_1386,4.72,5.25,5.23,0.9,5.04,4.45,2.77,2.61,NA,1.61,NA,10.77,8.86,NA,4.21,50,NA,male,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-9222,7.13,7.66,6.67,1.24,6.51,NA,3.24,3.04,NA,2.43,1.4,NA,13.59,NA,NA,71,NA,NA,Cophosaurus texanus,Cophosaurus
Callisaurus draconoides_TxVP_M-14321,6.99,7.51,NA,NA,NA,NA,NA,NA,NA,2.55,1.37,NA,13.75,2.23,6.11,78,NA,male,Callisaurus draconoides,Callisaurus
Uma scoparia_TxVP_M-12119,8.99,10.11,8.44,1.46,NA,NA,NA,4.78,2.58,4.08,1.9,21.93,17.87,2.58,7.63,95,200,NA,Uma scoparia,Uma
Cophosaurus texanus_TxVP_M-9227,4.92,5.47,5.46,0.92,5.53,4.84,2.89,2.56,NA,1.57,NA,11.44,9.54,NA,4.2,51,NA,male,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_TxVP_M-12104,6.35,6.94,6.2,1.07,6.12,4.98,2.91,3.01,1.96,2.5,1.34,15.18,12.16,1.84,5.43,67,NA,NA,Cophosaurus texanus,Cophosaurus
Callisaurus draconoides_TxVP_M-14320,NA,7.68,NA,1.25,6.88,5.47,3.49,3.9,2.42,2.5,1.41,18.99,15.5,2.29,6.5,84,NA,NA,Callisaurus draconoides,Callisaurus
Cophosaurus texanus_TxVP_M-9215,6.09,6.64,6.14,1.08,5.91,NA,NA,2.96,NA,2.36,NA,NA,11.66,NA,5.27,63,NA,NA,Cophosaurus texanus,Cophosaurus
Cophosaurus texanus_CJB_1371,4.08,4.42,4.43,0.73,4.34,4.25,2.44,2,NA,1.16,NA,8.56,6.92,NA,3.25,40,NA,NA,Cophosaurus texanus,Cophosaurus
