Specimen,Maxilla_LDR,Dentary_LDR,Frontal_GL,Frontal_SW,Frontal_PW,Parietal_GW,Parietal_GL,Quadrate_GH,Occipital_complex_WC,Articular_WR,Scapulocoracoid_HG,Femur_GL,Humerus_GL,Pelvis_HA,Ilium_crest_GL,SVL,TL,Sex,species,genus
Sceloporus variabilis TMM 40450-1660 dentary L 5,,7.4,,,,,,,,,,,,,,,,,,Fossil
Sceloporus variabilis TMM 40450-1660 dentary L 6,,6.95,,,,,,,,,,,,,,,,,,Fossil
Sceloporus variabilis TMM 40450-1660 dentary L 7,,7.87,,,,,,,,,,,,,,,,,,Fossil
Sceloporus variabilis TMM 40450-1660 dentary L 8,,8.21,,,,,,,,,,,,,,,,,,Fossil
Sceloporus variabilis TMM 40450-1660 dentary L 9,,6.32,,,,,,,,,,,,,,,,,,Fossil
Sceloporus variabilis TMM 40450-1660 dentary R 1,,7.9,,,,,,,,,,,,,,,,,,Fossil
Sceloporus variabilis TMM 40450-1660 dentary R 2,,8.25,,,,,,,,,,,,,,,,,,Fossil
Sceloporus variabilis TMM 40450-1660 dentary R 3,,8.65,,,,,,,,,,,,,,,,,,Fossil
Sceloporus variabilis TMM 40450-1660 dentary R 4,,7.28,,,,,,,,,,,,,,,,,,Fossil
Sceloporus variabilis TMM 40450-1660 dentary R 5,,7.09,,,,,,,,,,,,,,,,,,Fossil
Sceloporus variabilis TMM 40450-1660 dentary R 6,,7.58,,,,,,,,,,,,,,,,,,Fossil
Sceloporus variabilis TMM 40450-1660 dentary R 7,,7.58,,,,,,,,,,,,,,,,,,Fossil
Sceloporus variabilis TMM 40450-1660 dentary R 8,,7.93,,,,,,,,,,,,,,,,,,Fossil
Sceloporus variabilis TMM 40450-1660 dentary R 9,,7.1,,,,,,,,,,,,,,,,,,Fossil
Sceloporus variabilis TMM 40450-1660 dentary R 10,,7.83,,,,,,,,,,,,,,,,,,Fossil
Sceloporus variabilis TMM 40450-1660 dentary R 11,,7.1,,,,,,,,,,,,,,,,,,Fossil
Sceloporus poinsetti TMM 40450-1661 dentary,,12.52,,,,,,,,,,,,,,,,,,Fossil
Sceloporus poinsetti TMM 40450-1661 frontal,,,6.16,1.86,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary L 1,,7.56,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary L 2,,8.27,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary L 4,,7.16,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary L 5,,8.27,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary L 6,,7.2,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary L 7,,7.43,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary L 8,,8.17,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary L 9,,5.85,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary L 10,,7.57,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary L 11,,6.71,,,,,,,,,,,,,,,,,,Fossil
Sceloporus undulatus TMM 40450-1662 dentary L 12,,6.9,,,,,,,,,,,,,,,,,,Fossil
